EPIC               Kp           Raw CDPP     Everest CDPP      Validation        Outliers       Saturated
204968977          14.276        2660.489         115.211         161.178              29               0
204638966          14.800         987.104          79.598          97.632              22               0
203634853          15.313        1986.515         165.541         228.775              22               0
204907108          11.494         292.876          21.025          29.142               9               0
205019025          15.447         771.006         138.085         182.143              27               0
204937336          15.293         830.969         160.538         236.082              17               0
203114152          11.727         442.345         342.954         364.443               0               0
204656724          13.175         259.703         212.762         255.473              84               0
204127118          13.784         288.432          47.684          67.144              12               0
205440132          16.001        8227.914         212.867         297.291              29               0
204962319          13.098       62775.383         137.398         737.996              89               1
202752501          13.215         270.721          88.091         124.042               2               0
203832475          10.912         250.298          13.645          27.864              67               1
204019418          10.109          90.041           9.757          17.762              53               1
204078097          13.992        2277.677        1033.819        1206.816              67               0
204279945          12.994         383.268          85.040         110.886               0               0
205066567          12.767         113.224          22.891          32.469               3               0
205706245          14.725         878.812         216.255         276.013              19               0
205140657          15.310         778.703         135.316         171.588              28               0
204667408          12.224         139.922          22.365          32.714              15               0
202694998          13.619         203.364          94.172         142.010               6               0
204845310          10.428         205.826          20.346          28.234               7               1
204481779          15.025         681.057         118.074         147.177              26               0
203447136          11.188         199.442          18.773          24.794              15               1
204564247          13.074          93.312          31.931          42.238              10               0
203538499          13.286          95.943          28.329          44.738               8               0
202860560          12.610         453.262          35.247          56.545              20               0
205285749          14.988        1772.471          97.107         125.331              15               0
202665233          11.878         802.800          23.122          40.309              18               0
203728867          15.816        2112.726         333.114         490.571              15               0
204785523          15.309        1787.539         126.912         186.926              14               0
203638802          14.054        2859.417          59.122          95.915              21               0
204921064          15.616        1172.930         175.714         254.171              12               0
203681387          11.373         187.032          37.858          60.680              13               1
204550865          11.966         128.007          16.792          23.553               5               0
202854689          10.483        1370.239           8.512          16.471              29               1
203912953          15.301         861.391         157.465         221.256              16               0
203690248           9.568         169.857          72.610         100.136               2               1
204086578          14.611         756.094          94.280         124.786              17               0
204530429          13.261         334.088          39.201          59.042              17               0
204604255          12.172         209.340          18.761          27.366               7               0
205598655           8.816         170.701          87.905         117.928               1               1
204882075          15.721        4923.995         220.265         296.222              17               0
205133262          12.042         161.109          28.920          38.477              64               0
203798169          12.167         652.820          31.963          56.682              30               0
204128626          14.144        1925.235         218.863         311.388              17               0
204637674          12.102          98.669          48.024          66.483             115               0
205183565          13.674         283.639          77.190          97.575              18               0
205688383           9.222          96.798          23.912          34.283              26               1
202722239          14.618         830.927         100.850         128.245               9               0
203888046          12.317         233.294          22.312          34.947              17               0
203124214          10.339          29.451           8.136          14.150              20               1
204399436          16.847        4649.770        1161.967        1431.469              23               0
205019740          13.292         328.106          89.509         125.228               2               0
203451997          12.209         618.881          21.259          38.469               7               0
203536608          10.495        1613.517         159.720         214.911               0               0
205647052          13.251         257.846          76.033         103.254               5               0
205543465          13.389        1115.015         137.263         192.216               9               0
205048103          13.230         529.424         128.886         159.798               9               0
203755263          12.732         112.648          23.939          38.173              10               0
205092541          11.685          98.905          15.221          23.070               3               0
204611501          13.919         985.746         303.116         331.202              52               0
205580403          15.076        1349.957         115.503         155.950              25               0
205144753          11.174         126.476          12.265          19.791               8               0
203352209          14.327         216.733          58.049          76.876              11               0
204862948          15.792        1215.174         233.809         296.278              14               0
203359954          11.879        5356.503          17.721          32.340              16               0
205031951          12.297        1177.527          22.794          43.707              28               0
202703285          14.641        3359.558         113.148         151.318              18               0
204324504          12.535         222.244          23.462          30.838               9               0
204322265          14.731         486.974         125.880         147.327              37               0
203411499          14.192         357.339          96.397         128.812               2               0
202970519          13.533        2562.126          78.380         118.908               3               0
202711010          10.919        2348.706          17.663          38.859              20               0
205295201          14.709        1493.828          86.971         130.849              19               0
210282534          14.200        2367.935        2382.640        2636.027               2               0
203687122          14.154         127.165          49.881          63.882              14               0
204236797          13.156         914.171          41.057          60.535              26               0
204963464          14.337        3809.479        3677.834        4398.194               1               0
203929332          12.650        1962.194         477.522         560.736              49               0
205567184          11.273         203.259          21.859          33.383               7               0
202778387          15.576        5091.553         256.361         354.168              23               0
203980417          14.114        1647.140         265.107         347.428              16               0
203369093          12.077         194.400          22.756          40.737               0               0
203454541          12.614         147.161          32.640          49.831              10               0
203538713          11.429         434.770          54.123          70.021               1               0
205695923          13.546         487.384          40.702          67.493              12               0
204348591          12.211         196.680          20.147          31.271              26               0
205599786          12.168         338.550          27.626          39.150              12               0
205234643          13.963         273.419          66.473          90.970              15               0
203009906          13.647         706.558         141.129         192.137             111               0
203845569          11.408         254.040          33.228          42.350               4               0
205010455          13.288         269.336          33.044          53.831              17               0
205137666          12.242         102.385          20.501          32.419               6               0
204617981          15.865         863.568         112.481         147.907              13               0
202772183          12.442         329.499          21.675          40.439              63               0
204957888          15.358        2889.412         140.066         209.749              65               0
203002817          13.928         244.170          52.094          81.611              22               0
202668228          14.877         691.404         127.973         173.262               9               0
204915223          11.287         385.622          24.412          43.425             342               0
205575796          15.003         691.194         131.175         190.135              15               0
204478310          10.122          77.508           7.832          11.770              24               1
203857385          13.387         175.244          38.014          54.677              10               0
203376671          11.018         257.558          18.677          29.409               9               1
202844975          14.159       10005.136          84.653         143.810              11               0
205165467          11.568         469.934          20.898          34.087              10               0
204213977          15.241         792.021         151.301         175.020              17               0
203131507          13.273         278.446          38.197          62.853              25               0
202821899          12.577         290.373          35.784          59.077              59               0
204310706          12.595         163.561          27.026          37.198               7               0
203712350          12.274         548.176          21.878          34.330              15               0
205277030          10.298         165.965          17.979          25.759               6               1
205101501          13.711         172.109          40.444          65.856              17               0
202771806          13.921         313.347         113.024         149.893               2               0
205522301          14.237        1311.905          62.364          94.090              27               0
203790390          12.436         421.633          25.961          38.362              13               0
204559829          14.467         468.530         109.252         133.234              27               0
203656237          11.512        1466.029         683.369        1138.419               5               1
203774916          13.025         286.586          35.374          50.359               9               0
203764057          13.614         757.338         177.023         264.890              10               0
204693979          15.886        1337.612         198.825         250.668              20               0
204886732          15.748        1302.477         327.396         454.621              16               0
203303086          11.795         306.581          17.619          27.548               8               1
204587833           9.465        1820.391         862.235        2379.023               6               1
205560599          14.214         483.817          61.849          98.934              15               0
203569080          14.851        3523.826         621.575         892.747              23               0
204534801          18.211        6109.601         549.450         694.259              39               0
204639284          11.295          45.740          15.846          24.271               4               0
204448135          11.859         195.761          90.241         126.353               0               0
204946263          11.635         365.007          21.055          26.098              14               0
203860491          12.523        4080.787          40.338          67.944              17               0
202598546          11.826        1158.430          20.758          35.199              28               0
204001769          13.922         343.603          50.420          76.926              26               0
204987216          13.078         171.543         134.092         181.934               0               0
203616776          11.795         243.868          80.540         108.601               1               0
204777465          15.638        1550.590         170.912         211.979              22               0
203845386          12.955         373.639          32.589          47.217              10               0
204766425          14.713         692.611         114.694         148.801               6               0
205650433          15.818        5080.209         267.563         362.059              32               0
205033060          15.577         787.237         151.645         189.889              17               0
203436868          11.428         215.563          84.282         125.526               1               1
202777859          11.443         396.158          78.920          92.330               1               0
204467081          11.050         119.056          16.477          26.392              19               1
204175516          13.002         254.778         227.025         286.688             117               0
204991357          11.633         235.376          19.070          30.685              14               0
203712669          14.965       10652.644         122.987         183.856              23               0
204997306          15.744         692.079         171.874         213.386              13               0
204529342          13.757         166.876          45.422          55.890              19               0
204866556          14.093         282.299          94.658         121.431               2               0
205104403           6.093         596.063         449.586         644.713               1               1
205112614          15.318        2253.220         138.820         184.490              27               0
